Species,Fire exposure (%),Metal exposure (%)
Bonyunia_aquatica,1.88,4.28
Bonyunia_minor,1.31,1.94
Bonyunia_venusta,0.14,0
Borreria_cupularis,4.7,2.8
Borreria_hispida,5.27,0.28
Borreria_hyssopifolia,1.81,32.05
Borreria_tenella,2.98,0.88
Borreria_virgata,0.51,1.27
Borreria_wunschmannii,13.84,1.94
Botryarrhena_pendula,0.61,3.11
Botryarrhena_venezuelensis,0.12,0.01
Bougainvillea_modesta,1.97,0.85
Bourreria_bolivarensis,3.57,0.82
Brachionidium_tuberculatum,0.06,0.09
Brachystele_guayanensis,6.02,4.15
Braemia_vittata,0.21,0.84
Brassavola_martiana,2.84,10.97
Brassia_chloroleuca,0,0.01
Brassia_cochleata,6.51,0.01
Brassia_neglecta,0.25,10.47
Bredemeyera_densiflora,0.86,9.25
Bredemeyera_myrtifolia,2.72,7.84
Bromelia_balansae,9.22,4.44
Brosimum_alicastrum,2.69,10.11
Brosimum_gaudichaudii,11.58,4.14
Brosimum_longifolium,0.2,8.19
Brosimum_potabile,3.44,9.72
Brosimum_rubescens,2.51,18.73
Brosimum_utile,1.67,17.68
Brownea_coccinea,0.84,7.14
Brownea_longipedicellata,0.24,0
Browneopsis_ucayalina,0.06,0.85
Brunfelsia_guianensis,1.34,3.53
Brunfelsia_martiana,4.54,21.25
Brunfelsia_mire,6.04,10.58
Buchenavia_fanshawei,0.04,0
Buchenavia_grandis,3.29,9.49
Buchenavia_oxycarpa,3.13,11.02
Buchenavia_pallidovirens,0.53,0.39
Buchenavia_parvifolia,1.02,2.72
Buchenavia_reticulata,2.44,5.7
Buchenavia_suaveolens,0.97,0.67
Buchnera_lavandulacea,13.79,0.09
Buchnera_palustris,10.27,8.12
Buchnera_rosea,3.43,12
Buforrestia_candolleana,0.1,2.81
Bulbophyllum_bracteolatum,1.69,0
Bulbophyllum_quadrisetum,0.08,0
Bulbostylis_conifera,6,9.01
Bulbostylis_junciformis,3.48,19.01
Bulbostylis_lanata,1.7,11.83
Bulbostylis_tenuifolia,2.52,5.31
Bunchosia_argentea,2.49,10.72
Bunchosia_armeniaca,1.21,15.02
Bunchosia_elliptica,0.35,0
Burdachia_duckei,0.26,0.74
Burdachia_prismatocarpa,0.79,2.88
Burdachia_sphaerocarpa,1,5.66
Burmannia_capitata,2.86,11.75
Byrsonima_aerugo,1.76,37.13
Byrsonima_carraoana,0.84,0.18
Byrsonima_christianeae,0.36,10.37
Byrsonima_coniophylla,0.73,3.24
Byrsonima_cowanii,0.61,4.13
Byrsonima_crassifolia,4.54,15.6
Byrsonima_crispa,4.48,12.68
Byrsonima_densa,2.55,9.3
Byrsonima_duckeana,0.44,1.8
Byrsonima_formosa,0.19,0
Byrsonima_frondosa,1.61,0.95
Byrsonima_garcibarrigae,0.3,2.79
Byrsonima_gymnocalycina,0.12,2.47
Byrsonima_japurensis,2.62,9.32
Byrsonima_laevigata,0.14,6.01
Byrsonima_laevis,2.85,2.13
Byrsonima_poeppigiana,2.76,13.48
Byrsonima_punctulata,3,7
Byrsonima_schomburgkiana,1.26,5.3
Byrsonima_schunkei,2.87,0.97
Byrsonima_spicata,3.41,20.63
Byrsonima_stipulacea,2.61,14.36
Byttneria_aculeata,4.19,3.58
Byttneria_benensis,5.89,4.64
Byttneria_cordifolia,4.02,0
Byttneria_coriacea,1.48,2.12
Byttneria_fulva,2.68,1.66
Byttneria_genistella,6.47,3.47
Byttneria_obliqua,3.62,15.14
Byttneria_rhamnifolia,5.57,6.4
Byttneria_schunkei,1.95,3.89
Cabomba_aquatica,1.67,7.23
Cabralea_canjerana,1.57,6.37
Caladium_bicolor,1.36,47.71
Caladium_macrotites,1.21,0.34
Caladium_schomburgkii,0.16,1.04
Caladium_smaragdinum,0.16,0.76
Caladium_ternatum,0.13,0.14
Caladium_tuberosum,15.37,0
Calatola_costaricensis,1.27,5.3
Calea_abelioides,0.66,1.33
Calea_lucidivenia,0.52,1.13
Callaeum_antifebrile,4.9,0.96
Calliandra_glomerulata,0.95,4
Calliandra_guildingii,0.3,1.26
Calliandra_haematocephala,3.83,2.36
Calliandra_magdalenae,1.79,2.53
Calliandra_parvifolia,11.26,2.95
Calliandra_surinamensis,1.53,14.65
Calliandra_trinervia,0.73,13.81
Callichlamys_latifolia,2.22,20.53
Calophyllum_longifolium,2.44,14.42
Calophyllum_pachyphyllum,4.51,2.25
Calopogonium_mucunoides,3.03,14.16
Calycobolus_glaber,3.32,11.73
Calycobolus_sericeus,2.48,13.49
Calycolpus_alternifolius,1.17,0.13
Calycolpus_cochleatus,0.36,0.79
Calycolpus_moritzianus,0.93,0.36
Calycolpus_surinamensis,0.04,1.89
Calycophyllum_spruceanum,2.8,11.59
Calycorectes_enormis,0.36,0.6
Calyptranthes_brevispicata,2.86,5.59
Calyptranthes_cuspidata,2.38,4.81
Calyptranthes_densiflora,2.24,1.35
Calyptranthes_fasciculata,2.63,13.94
Calyptranthes_forsteri,1.4,4.37
Calyptranthes_krugioides,2.11,1.82
Calyptranthes_lucida,3.1,0.51
Calyptranthes_macrophylla,1.35,5.06
Calyptranthes_multiflora,2.06,4.6
Calyptranthes_nigricans,2.34,0
Calyptranthes_paniculata,2.16,5.23
Calyptranthes_plicata,0.45,3.14
Calyptranthes_pullei,0.45,11.22
Calyptranthes_ruiziana,1.28,3.4
Calyptranthes_scoparia,2.43,0
Calyptranthes_simulata,0.84,0.87
Calyptrocarya_bicolor,0.98,12.89
Camaridium_ochroleucum,2.77,10.02
Campomanesia_aromatica,2.79,11.85
Campsiandra_angustifolia,1.64,6.75
Campsiandra_comosa,0.46,3.92
Campsiandra_emonensis,0,0.08
Campsiandra_laurifolia,1.83,11.39
Campsiandra_macrocarpa,0.93,3.67
Campsiandra_nutans,0.64,0.11
Camptosema_ellipticum,9.25,5.99
Campylocentrum_fasciola,4.96,9.03
Campylocentrum_micranthum,2.79,13.15
Canavalia_grandiflora,6.31,8.29
Canna_indica,1.87,10.54
Caperonia_castaneifolia,2.83,11.8
Caperonia_heteropetala,19.12,0.24
Caperonia_palustris,3.11,6.74
Capirona_decorticans,3.28,18.83
Capparidastrum_huberi,9.07,0
Capraria_biflora,2.19,3.69
Caraipa_ampla,0.25,1.95
Caraipa_costata,0.17,1.34
Caraipa_duckeana,3.37,1.42
Caraipa_grandifolia,1.72,9.52
Caraipa_jaramilloi,0.33,2.31
Caraipa_longipedicellata,0.52,1.56
Caraipa_longisepala,1.31,0.98
Caraipa_minor,8.22,2.45
Caraipa_myrcioides,3.88,1.19
Caraipa_parvielliptica,0.49,0.02
Caraipa_parvifolia,0.11,0.32
Caraipa_punctulata,1.75,14.34
Carapa_vasquezii,1.24,0.36
Carapichea_dolichophylla,2.78,3.49
Carapichea_guianensis,2.6,1.79
Carapichea_ipecacuanha,13.06,2.77
Carapichea_vasivensis,0.03,1.75
Cardiopetalum_calophyllum,10.91,7.91
Cariniana_estrellensis,3.79,4.55
Cariniana_micrantha,3.6,4.7
Carludovica_palmata,1.23,5.44
Carpotroche_froesiana,2.43,0
Caryocar_amygdaliforme,1.75,1.78
Caryocar_gracile,0.15,0.8
Caryocar_harlingii,0.19,0.55
Caryocar_nuciferum,0.22,5.12
Caryocar_villosum,4.03,14.28
Caryodaphnopsis_tomentosa,0.16,1.06
Caryomene_foveolata,1.19,0
Caryomene_grandifolia,1.28,0
Casearia_aculeata,2.49,18.02
