species,group,Exposure
Aechmea_colombiana,Plants,0.63519921
Aechmea_contracta,Plants,0.567565466
Aechmea_distichantha,Plants,1.287207221
Aechmea_drakeana,Plants,2.398442628
Aechmea_egleriana,Plants,1.435918355
Aechmea_fraudulosa,Plants,2.304921065
Aechmea_hoppii,Plants,1.015186507
Aechmea_magdalenae,Plants,0.332633049
Aechmea_marmorata,Plants,2.304921065
Aechmea_melinonii,Plants,1.817834251
Aechmea_mexicana,Plants,0.546476289
Aechmea_moorei,Plants,0.700717558
Aechmea_multiflora,Plants,0.745110099
Aechmea_muricata,Plants,1.528648368
Aechmea_nivea,Plants,0.311054168
Aechmea_patriciae,Plants,2.511052702
Aechmea_phanerophlebia,Plants,0.781617977
Aechmea_pubescens,Plants,0.141298256
Aechmea_rodriguesiana,Plants,0.899682601
Aechmea_rubiginosa,Plants,0.73374748
Aechmea_setigera,Plants,1.078538475
Aechmea_sphaerocephala,Plants,0.750784792
Aechmea_stenosepala,Plants,4.33E-04
Aechmea_streptocalycoides,Plants,1.117126384
Aechmea_tillandsioides,Plants,0.888989156
Aechmea_tocantina,Plants,1.164071598
Aechmea_van-houtteana,Plants,0.614411999
Aechmea_weilbachii,Plants,2.869060155
Aechmea_woronowii,Plants,0.407055301
Aegialomys_xanthaeolus,Mammals,0.839144241
Aegiphila_anomala,Plants,1.150616011
Aegiphila_australis,Plants,2.164216549
Aegiphila_bogotensis,Plants,0.750695563
Aegiphila_candelabrum,Plants,0.216098194
Aegiphila_capitata,Plants,2.304921065
Aegiphila_chrysantha,Plants,0.478365891
Aegiphila_conturbata,Plants,2.304921065
Aegiphila_costaricensis,Plants,0.069362168
Aegiphila_elegans,Plants,0.666419503
Aegiphila_elongata,Plants,19.69920569
Aegiphila_fendleri,Plants,0.269149314
Aegiphila_grandiflora,Plants,9.558004825
Aegiphila_grandis,Plants,0.045279715
Aegiphila_herzogii,Plants,0.811015054
Aegiphila_hirsutissima,Plants,2.082070921
Aegiphila_hoehnei,Plants,0.786104997
Aegiphila_integrifolia,Plants,1.083861311
Aegiphila_intermedia,Plants,1.152685932
Aegiphila_klotzkiana,Plants,0.946631838
Aegiphila_lanceolata,Plants,4.936734
Aegiphila_laxiflora,Plants,2.083366078
Aegiphila_loretensis,Plants,7.503722505
Aegiphila_macrantha,Plants,1.926107113
Aegiphila_martinicensis,Plants,0.75078929
Aegiphila_mediterranea,Plants,1.476514025
Aegiphila_medullosa,Plants,2.304921065
Aegiphila_membranacea,Plants,1.349682507
Aegiphila_mollis,Plants,0.785617303
Aegiphila_mortoni,Plants,1.31011379
Aegiphila_parviflora,Plants,0.774674819
Aegiphila_pavoniana,Plants,7.503722505
Aegiphila_quararibeana,Plants,1.151853413
Aegiphila_quinduensis,Plants,0.646877895
Aegiphila_roraimensis,Plants,0.412834479
Aegiphila_saltensis,Plants,3.063729834
Aegiphila_sellowiana,Plants,9.539596952
Aegiphila_smithii,Plants,0.66799202
Aegiphila_steinbachii,Plants,0.158560453
Aegiphila_truncata,Plants,0.033927625
Aegiphila_ulei,Plants,0.678296112
Aegiphila_venezuelensis,Plants,0.950894952
Aegiphila_verticillata,Plants,1.131525856
Aegolius_harrisii,Birds,0.680567779
Aenigmatanthera_lasiandra,Plants,1.133618934
Aequatorium_pascoense,Plants,3.833202015
Aequidens_diadema,Fishes,0.376721446
Aequidens_epae,Fishes,1.640561615
Aequidens_gerciliae,Fishes,1.232817683
Aequidens_mauesanus,Fishes,1.625494195
Aequidens_metae,Fishes,1.121090892
Aequidens_michaeli,Fishes,1.705495814
Aequidens_pallidus,Fishes,0.908980283
Aequidens_patricki,Fishes,0.431283947
Aequidens_plagiozonatus,Fishes,1.045572362
Aequidens_rondoni,Fishes,1.107948084
Aequidens_tetramerus,Fishes,0.990344527
Aequidens_tubicen,Fishes,0.612594057
Aequidens_viridis,Fishes,0.801930588
Aeronautes_andecolus,Birds,5.202956418
Aeronautes_montivagus,Birds,1.250762034
Aeschynomene_brevipes,Plants,1.00254306
Aeschynomene_filosa,Plants,1.175946186
Aeschynomene_interrupta,Plants,3.473683904
Aeschynomene_paniculata,Plants,0.921122532
Aeschynomene_parviflora,Plants,0.783180828
Aeschynomene_paucifolia,Plants,0.738925107
Aeschynomene_podocarpa,Plants,2.304921065
Aeschynomene_rudis,Plants,1.464304817
Aeschynomene_scoparia,Plants,0.675308355
Aeschynomene_selloi,Plants,0.615475009
Aeschynomene_sensitiva,Plants,0.934237307
Aeschynomene_viscidula,Plants,0.517699834
Aetanthus_andreanus,Plants,0.766882035
Aetanthus_colombianus,Plants,0.003959866
Aetanthus_macranthus,Plants,0.156100873
Aetanthus_pascoensis,Plants,7.46639705
Agalinis_bangii,Plants,2.396443079
Agalinis_fiebrigii,Plants,4.056416112
Agalinis_genistifolia,Plants,1.975886439
Agalinis_linarioides,Plants,1.111984606
Agalychnis_buckleyi,Amphibians,1.268639103
Agalychnis_hulli,Amphibians,0.276324728
Agamia_agami,Birds,0.422068636
Agamyxis_albomaculatus,Fishes,1.30472959
Agamyxis_pectinifrons,Fishes,0.663706067
Aganisia_fimbriata,Plants,0.654521796
Aganisia_rosariana,Plants,3.466779295
Aganope_latifolia,Plants,6.617718819
Agarista_albiflora,Plants,0.883914713
Agarista_chapadensis,Plants,0.738438923
Agarista_chlorantha,Plants,0.815621697
Agarista_duartei,Plants,1.339423994
Agarista_oleifolia,Plants,0.456510388
Agarista_pulchra,Plants,0.40691578
Agarista_subcordata,Plants,7.503722505
Agarista_varnhageniana,Plants,2.304921065
Agave_cocui,Plants,4.002085345
Agelaioides_badius,Birds,0.591466867
Agelasticus_cyanopus,Birds,1.807604067
Agelasticus_thilius_R,Birds,15.80558186
Agelasticus_xanthophthalmus,Birds,44.25660241
Ageneiosus_atronasus,Fishes,0.703654822
Ageneiosus_brevis,Fishes,0.884229818
Ageneiosus_inermis,Fishes,1.007445855
Ageneiosus_militaris,Fishes,0.664087786
Ageneiosus_pardalis,Fishes,0.474308204
Ageneiosus_piperatus,Fishes,0.65284918
Ageneiosus_polystictus,Fishes,1.790577863
Ageneiosus_ucayalensis,Fishes,0.952831901
Ageneiosus_uranophthalmus,Fishes,1.044096084
Ageneiosus_vittatus,Fishes,0.854929723
Agenium_goyazense,Plants,0.806229474
Ageratina_azangaroensis,Plants,0.862653812
Ageratina_baccharoides,Plants,0.067294718
Ageratina_dendroides,Plants,0.19397989
Ageratina_exsertovenosa,Plants,0.966636058
Ageratina_fastigiata,Plants,0.669221951
Ageratina_glechonophylla,Plants,1.474763623
Ageratina_gloeoclada,Plants,2.059859158
Ageratina_macbridei,Plants,1.290231735
Ageratina_pichinchensis,Plants,0.760268391
Ageratina_popayanensis,Plants,0.368939113
Ageratina_prunellifolia,Plants,0.669410277
Ageratina_rhypodes,Plants,0.069826885
Ageratina_tambillensis,Plants,1.329894024
Ageratina_theifolia,Plants,0.003041672
Ageratina_tinifolia,Plants,0.13629086
Ageratina_vacciniifolia,Plants,0.127011746
Ageratum_fastigiatum,Plants,0.396474853
Ageratum_pohlianum,Plants,2.304921065
Ageratum_pohlii,Plants,2.304921065
Aglaeactis_castelnaudii,Birds,0.758229016
Aglaeactis_cupripennis,Birds,0.801884361
Aglaeactis_pamela,Birds,3.646606176
Aglaiocercus_kingii,Birds,0.987800508
Agoniates_anchovia,Fishes,0.875283293
Agoniates_halecinus,Fishes,0.976046379
Agouticarpa_hirsuta,Plants,1.139729545
Agouticarpa_velutina,Plants,0.663746176
Agrianthus_pungens,Plants,0.030615717
Agriornis_albicauda,Birds,1.116911294
Agriornis_micropterus_N,Birds,0.764009324
Agriornis_micropterus_R,Birds,4.813860582
